1stFlrSF,BsmtFinSF1,BsmtUnfSF,GarageArea,GrLivArea,KitchenQual,LotArea,LotFrontage,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1028,0,994,442,1804,Gd,7500,60.0,60,5,7,994,1999,1999,189000
884,550,334,543,1768,Gd,8158,65.0,63,5,7,884,2003,2003,224900
1831,1387,543,807,3627,Gd,35760,118.0,76,5,10,1930,1995,1996,625000
1298,1258,40,403,1298,Gd,11200,69.0,26,5,6,1298,1985,1985,180000
1801,1247,254,484,1801,TA,15602,100.0,54,8,7,1501,1959,1997,289000
630,553,77,0,630,Ex,1533,21.0,0,7,5,630,1970,1970,92000
1103,397,706,440,1103,Gd,6000,50.0,120,6,6,1103,1925,1980,110500
859,0,859,384,1178,TA,8712,66.0,0,7,4,859,1900,1950,102776
1196,197,999,440,1196,TA,4800,40.0,0,7,4,1196,1916,1990,109900
1372,0,1372,529,1372,Gd,8640,72.0,140,5,7,1372,2007,2008,250580
1431,371,728,296,1431,TA,9150,101.0,110,5,6,1099,1962,1962,165000
1422,0,1422,626,1422,Gd,8500,63.0,60,5,7,1422,2004,2004,179600
1079,985,595,501,1953,Gd,53107,69.0,231,5,6,1580,1992,1992,240000
1121,0,1121,440,1121,TA,8546,80.0,64,5,4,1121,2003,2004,140000
1143,0,1143,852,2473,Gd,9591,76.0,151,5,8,1143,2004,2005,317000
1057,417,640,576,1057,TA,7420,70.0,0,5,5,1057,1962,1962,132000
1110,1097,0,602,1110,Gd,9101,69.0,30,6,5,1097,1978,1978,165500
1164,524,628,671,2270,Gd,11764,92.0,57,7,8,1152,1999,2007,290000
2018,0,2002,746,2018,Ex,13214,89.0,76,5,9,2002,2008,2009,378500
672,438,234,440,1386,TA,11616,69.0,0,5,6,672,1978,1978,158900
1082,0,1082,1043,1953,Gd,10574,85.0,50,5,8,1082,2005,2006,252000
1337,733,604,462,1337,Gd,5395,41.0,0,5,8,1337,1993,1993,180000
997,0,969,648,2285,Gd,11000,69.0,56,5,8,969,2000,2000,248000
1718,1288,417,826,1718,Gd,10637,79.0,44,5,8,1705,2007,2008,297000
1086,516,380,484,1086,TA,13400,85.0,0,5,5,1024,1966,1966,159950
1555,0,1373,660,1555,Gd,3684,53.0,20,5,7,1373,2007,2007,174000
1902,1406,496,567,1902,Ex,17500,100.0,207,8,7,1902,1959,2002,335000
1298,1216,0,693,2514,TA,11170,69.0,0,5,7,1216,1990,1991,250000
1224,1086,0,528,1224,TA,7018,64.0,0,5,5,1086,1979,1979,153337
1054,602,14,460,1054,TA,9750,65.0,0,8,6,1054,1969,1969,151000
1276,854,371,676,2612,Gd,12203,98.0,0,5,8,1225,1998,1999,336000
902,599,277,288,902,TA,6173,69.0,0,6,5,876,1967,1967,125500
1153,692,153,484,2353,Ex,13005,94.0,195,7,7,845,1980,1980,260000
689,378,311,299,1392,TA,10900,69.0,36,7,6,689,1977,1977,161750
1155,899,210,576,1155,Gd,11782,88.0,0,7,5,1109,1961,1995,148000
1136,180,676,240,1904,TA,7200,60.0,0,4,5,1208,1950,1982,138000
950,0,862,208,1158,TA,6000,50.0,0,7,6,862,1929,1950,120000
751,0,611,502,1362,TA,6155,60.0,0,8,6,611,1920,1999,128000
1005,0,975,429,2291,Gd,8738,66.0,0,5,7,975,1999,1999,230000
649,0,649,250,1317,TA,8500,50.0,54,4,4,649,1920,1950,40000
1734,1004,730,928,1734,Ex,12085,93.0,0,5,8,1734,2007,2007,318000
1194,0,1194,312,1194,TA,8760,73.0,0,6,6,1194,1959,1959,148000
876,0,876,720,1416,TA,12665,100.0,0,8,5,876,1915,1950,153900
1383,1064,319,354,1383,TA,13284,69.0,116,5,5,1383,1954,1954,165000
1001,284,717,871,2002,TA,6270,82.0,0,6,5,1001,1949,1950,145000
1496,0,1496,474,1496,Gd,9158,76.0,130,5,8,1496,2007,2007,225000
984,408,156,660,1604,TA,10998,60.0,68,5,5,984,1941,1960,117000
764,0,680,504,764,TA,5232,30.0,0,5,5,680,1925,2004,73000
977,0,741,476,1732,Gd,9206,77.0,46,5,6,741,1985,1985,178000
1494,0,1494,840,1494,Gd,10652,91.0,33,5,7,1494,2006,2007,279500
986,0,960,180,986,TA,6180,60.0,128,5,6,960,1926,1950,102000
1145,16,1129,397,1145,Gd,3182,43.0,16,5,7,1145,2005,2006,160200
742,0,742,0,1484,TA,6300,35.0,291,6,6,742,1914,2001,128000
1344,111,354,525,1344,Gd,14375,69.0,118,6,6,819,1958,1958,137500
958,0,650,686,1539,Gd,10440,60.0,78,8,5,650,1904,2002,157500
1134,0,1122,656,2504,Ex,11198,77.0,39,5,9,1122,2005,2007,325000
747,0,600,528,747,TA,5825,52.0,0,5,4,600,1926,1953,79900
1108,975,133,583,2097,Gd,9750,75.0,170,6,7,1108,1998,1998,274300
3138,2260,878,884,4676,Ex,40094,130.0,406,5,10,3138,2007,2008,184750
786,0,698,624,1176,TA,6000,50.0,0,9,6,698,1937,2000,134900
720,495,225,0,720,TA,7879,60.0,523,5,4,720,1920,1950,34900
1580,0,1580,830,1580,Gd,11932,92.0,24,5,8,1580,2007,2008,235128
1440,1440,0,0,1440,TA,7711,42.0,0,3,4,1440,1977,1977,150000
738,193,545,540,1476,Gd,8633,64.0,35,5,6,738,2005,2005,173500
1500,20,1480,570,1500,Gd,8487,63.0,36,5,7,1500,2004,2004,190000
884,0,884,216,1348,TA,6000,50.0,0,8,5,884,1925,1997,117000
1200,661,203,884,1200,Gd,9230,71.0,64,8,5,864,1965,1998,146000
1394,609,785,514,1394,TA,9500,69.0,76,5,6,1394,1963,1963,159000
800,400,336,484,1632,Gd,9130,69.0,40,8,6,800,1966,2000,173000
912,842,70,336,912,TA,8521,70.0,0,5,5,912,1967,1967,125000
1370,1128,242,864,2624,TA,22420,86.0,0,6,6,1370,1918,1950,239000
1696,0,1140,349,1696,TA,13673,40.0,30,5,5,1140,1962,1962,143900
682,0,440,440,1230,TA,10440,60.0,0,6,5,440,1910,1981,110000
1549,297,556,440,2727,Gd,10570,70.0,74,8,8,853,1932,1994,315000
728,0,728,429,1456,TA,15578,105.0,0,5,6,728,2006,2006,172785
864,375,250,660,864,Gd,6960,60.0,0,6,4,864,1970,1970,120500
970,0,970,380,1709,Gd,2522,24.0,40,5,6,970,2004,2006,130000
810,643,167,528,1665,Gd,8400,70.0,45,6,8,810,2001,2001,227000
1372,987,360,656,2646,Gd,9900,90.0,60,5,7,1347,1993,1993,260000
798,0,798,595,1640,Gd,7226,72.0,45,5,7,798,2003,2003,183000
1014,440,538,420,1699,TA,10615,107.0,74,5,3,978,1900,1970,95000
1663,1116,248,529,1663,Gd,53227,69.0,137,6,4,1364,1954,1994,256000
1728,1332,396,504,1728,TA,9100,70.0,0,5,5,1728,1963,1963,125000
1055,0,1055,462,1845,Gd,11218,70.0,104,5,6,1055,1992,1992,189000
1020,536,169,440,1851,Gd,9760,80.0,42,8,6,822,1964,1993,187000
1489,0,1489,776,1489,Gd,11216,81.0,140,5,8,1489,2006,2006,232600
864,612,252,300,864,TA,9100,70.0,0,6,6,864,1959,1959,127500
1256,830,136,276,1256,TA,9937,75.0,68,6,5,1256,1965,1965,147500
816,816,0,816,816,TA,6600,60.0,0,8,5,816,1982,2003,138000
902,454,410,492,1820,Gd,13700,69.0,84,6,7,864,1965,1988,201800
912,48,422,833,2127,Gd,13125,103.0,192,5,7,1104,1991,1991,238000
1065,0,1065,461,1065,TA,8892,80.0,0,5,5,1065,1960,1960,126500
1200,0,1200,312,1200,TA,11340,84.0,0,5,6,1200,1923,1950,125000
1208,686,501,632,1208,Gd,6762,64.0,61,5,7,1187,2006,2006,206000
1133,0,1094,642,2482,Gd,12665,88.0,39,5,8,1094,2005,2006,281213
1720,919,801,527,1720,Gd,10593,59.0,56,5,7,1720,1996,1996,260400
840,116,556,0,840,TA,4388,55.0,0,7,5,672,1930,1950,87000
1294,1200,78,496,1294,Gd,7153,69.0,51,5,6,1278,1991,1991,179200
1090,980,110,450,1090,TA,7024,60.0,49,5,5,1090,2005,2006,157000
1165,0,1141,420,2263,Gd,12090,93.0,123,5,8,1141,1998,1998,258000
969,716,253,440,969,TA,10356,120.0,0,6,5,969,1975,1975,122000
894,0,894,1248,894,TA,18000,120.0,20,4,3,894,1935,1950,81000
1028,0,1008,360,1028,TA,8960,56.0,0,6,5,1008,1927,1950,115000
979,484,495,492,1958,TA,7136,82.0,0,6,6,979,1946,1950,145000
1795,0,1795,895,1795,Gd,9986,75.0,49,5,8,1795,2006,2007,147000
1940,1646,284,606,1940,Ex,10159,83.0,95,5,9,1930,2009,2010,395192
1178,1084,92,439,1178,Gd,10000,80.0,0,6,5,1176,1973,2000,157000
810,156,516,400,1482,Fa,12155,69.0,0,8,6,672,1925,1950,140000
1428,0,1417,554,1428,Ex,12274,91.0,60,5,7,1417,2008,2008,227680
864,460,404,338,864,TA,15523,36.0,0,6,5,864,1972,1972,133500
616,236,0,200,1111,TA,9084,60.0,0,6,5,616,1941,1950,95000
680,310,370,420,1470,TA,9765,69.0,63,8,6,680,1993,1993,185000
1116,0,1116,440,1116,TA,10000,87.0,0,6,6,1116,1962,1962,160000
864,414,450,288,864,Gd,7332,60.0,0,6,6,864,1959,1959,120000
1297,1213,84,498,1297,TA,8532,74.0,0,6,5,1297,1954,1990,153000
1113,607,506,264,1113,Gd,9600,80.0,80,7,5,1113,1950,2007,147000
1501,679,811,577,1501,Gd,10335,78.0,29,5,7,1490,1999,1999,204000
764,24,732,614,1547,Gd,8640,72.0,45,5,7,756,2009,2009,215200
991,222,769,678,1947,Gd,12552,100.0,136,5,7,991,2004,2005,254900
1717,0,1709,908,1717,Gd,11146,87.0,39,5,8,1709,2006,2006,255500
1052,504,506,440,1052,TA,8816,80.0,0,7,6,1010,1971,1971,155000
1127,862,255,455,2013,TA,9920,92.0,130,5,7,1117,1996,1997,269790
1266,0,1266,388,1266,Gd,3182,43.0,16,5,7,1266,2007,2007,159895
1992,240,1752,716,2868,Ex,16056,85.0,108,5,9,1992,2005,2006,556581
980,300,652,554,2256,Gd,8795,69.0,54,5,7,952,2000,2000,236000
1414,24,1390,494,1414,Gd,8773,65.0,105,5,7,1414,2004,2004,185500
936,814,114,471,1721,Gd,8462,70.0,87,5,6,928,1994,1994,201000
811,550,163,434,1552,TA,11475,85.0,208,6,6,713,1975,1975,179900
698,0,698,528,1128,TA,7500,60.0,0,4,4,698,1920,1950,68400
1118,522,574,358,1118,TA,9880,76.0,0,6,6,1096,1977,1977,171000
1728,936,396,574,1728,TA,12640,55.0,0,5,6,1728,1976,1976,150900
1686,1361,88,711,2448,Gd,46589,52.0,76,7,8,1629,1994,2005,402000
1473,1324,113,452,1473,Ex,25095,65.0,48,8,5,1437,1968,2003,143000
1187,902,254,400,1717,Gd,13758,44.0,36,5,7,1156,1990,1991,187500
1166,655,201,400,1166,Gd,9587,59.0,0,5,7,856,2005,2005,190000
1370,24,1346,484,1370,Gd,6442,44.0,49,5,8,1370,2006,2006,202500
1724,528,1152,480,1724,TA,17871,69.0,0,5,6,1680,1967,1976,197900
970,0,970,380,1709,Gd,2522,24.0,40,5,7,970,2004,2004,130000
483,358,125,264,987,TA,1680,21.0,0,3,6,483,1971,1971,89500
901,352,441,216,1802,TA,7588,54.0,0,6,7,793,1920,1950,200100
1170,503,449,360,2345,TA,16560,80.0,0,8,6,952,1932,1950,239000
1068,663,396,264,1068,TA,8414,70.0,0,8,6,1059,1963,2003,154500
1617,165,598,533,1617,Gd,8012,50.0,69,5,6,1604,1993,1994,193000
1244,777,467,336,1244,TA,11988,90.0,40,6,6,1244,1957,1957,150000
1180,0,700,252,1180,Fa,11600,80.0,0,5,4,700,1922,1950,137500
520,0,600,480,1223,Gd,2544,24.0,166,5,7,600,2005,2005,147400
1686,625,0,612,1686,TA,10240,79.0,131,6,6,1686,1980,1980,207500
1646,1513,125,800,1646,Gd,9520,71.0,44,5,8,1638,2007,2008,293077
1144,594,270,264,1144,TA,10000,80.0,0,6,5,864,1961,1983,131400
939,0,939,639,1797,Gd,9245,79.0,53,5,7,939,2006,2006,213500
1224,0,0,462,1224,TA,9842,70.0,0,5,4,0,1962,1962,101800
992,735,257,839,1865,Gd,10316,69.0,184,5,7,992,2000,2000,235000
1056,846,210,308,1056,TA,8176,70.0,0,6,5,1056,1958,1992,139000
1966,0,1926,820,3140,Ex,13518,104.0,78,5,9,1926,2008,2009,485000
1212,506,0,492,1212,TA,8471,88.0,12,7,6,506,1977,1995,151000
1694,1369,317,636,1694,Gd,10084,75.0,57,5,8,1686,2004,2005,307000
802,714,88,413,1511,TA,11207,70.0,75,5,6,802,1997,1997,185000
1057,731,326,246,1057,Gd,7922,68.0,52,7,5,1057,1953,2007,109000
1246,0,777,560,2290,TA,11340,60.0,0,6,4,777,1885,1950,122500
1377,1002,0,786,2183,Gd,13837,69.0,0,5,7,1204,1988,1988,229000
1699,1470,203,594,3222,Gd,12376,90.0,0,5,7,1673,1990,1990,320000
909,0,880,512,1716,Gd,8750,70.0,120,5,7,880,1996,1996,191000
1342,251,491,457,1342,TA,9790,69.0,0,5,6,1372,1967,1967,161500
1504,16,1330,437,1504,Gd,3182,43.0,20,5,7,1346,2005,2006,191000
1053,0,1053,648,1992,Gd,9375,75.0,45,5,8,1053,2003,2004,250000
624,510,90,462,1252,Gd,2160,24.0,48,5,7,600,1999,2000,160000
999,588,411,264,999,Gd,7758,69.0,132,7,5,999,1962,2001,132500
741,0,622,528,1363,TA,7740,60.0,0,7,4,622,1910,1950,125500
1165,312,276,490,1165,TA,9020,82.0,129,7,6,1127,1966,1966,174900
1668,1059,567,702,1668,Gd,11248,90.0,45,5,9,1626,2002,2002,285000
1158,0,1158,853,2376,Gd,14215,101.0,154,5,8,1158,2005,2006,325300
889,0,540,352,1440,TA,5000,63.0,0,4,5,540,1900,1950,79000
794,182,612,388,1470,TA,13869,69.0,75,6,6,794,1997,1997,177000
1541,1201,340,532,1541,Gd,12182,95.0,70,5,7,1541,2005,2005,220000
1440,133,1307,0,1440,Fa,12108,92.0,0,4,4,1440,1955,1955,118000
1146,786,82,438,1146,Gd,9590,73.0,22,5,7,868,2003,2003,187500
1494,437,0,481,1494,Ex,9549,30.0,30,5,8,1494,1995,1996,270000
1462,1170,292,738,2224,Ex,8834,74.0,0,5,9,1462,2004,2005,350000
820,0,731,186,1343,TA,7681,54.0,0,6,5,731,1921,1950,154900
1210,281,747,683,2452,Gd,16226,66.0,50,5,8,1028,1998,1999,267000
1127,442,374,540,1977,TA,9500,100.0,52,6,6,816,1964,1978,165000
1064,495,354,504,1767,Gd,5306,44.0,35,7,7,1064,1987,1987,239000
1324,863,461,550,1324,Gd,6240,48.0,38,5,8,1324,2006,2006,254000
912,0,912,330,1458,TA,17503,78.0,0,5,6,912,1948,1950,97500
1314,24,1290,440,1314,Gd,9317,78.0,22,5,6,1314,2006,2006,176432
1575,430,1145,529,1575,Gd,8012,50.0,0,5,6,1575,1992,1992,179200
1620,1022,598,912,1620,Ex,12898,89.0,0,5,9,1620,2007,2008,315500
1104,0,1104,304,1788,TA,11250,69.0,0,5,4,1104,1957,1989,161500
913,187,0,240,913,TA,8400,70.0,0,5,6,814,1966,1966,129000
2073,790,589,500,2073,TA,13175,85.0,0,6,6,1542,1978,1988,210000
764,0,776,492,1441,Gd,2645,24.0,0,5,8,776,1999,2000,174000
815,0,815,225,1690,TA,8850,65.0,0,6,7,815,1916,1950,144000
1437,988,200,576,1437,TA,14175,69.0,0,6,5,1188,1956,1987,168000
2156,297,1203,508,2156,TA,20781,69.0,80,7,7,1568,1968,2003,262500
864,468,396,0,864,TA,5604,67.0,0,6,5,864,1925,1950,98000
536,129,175,336,1112,TA,2592,36.0,0,3,5,536,1976,1976,85000
1122,700,0,746,2243,Gd,13474,116.0,44,5,7,700,1990,1991,225000
810,0,686,210,1328,TA,9906,57.0,172,4,4,686,1925,1950,107000
968,0,656,216,968,TA,10800,60.0,0,6,4,656,1927,2007,64500
698,0,698,384,1396,TA,8730,60.0,0,7,6,698,1915,2003,153575
1856,1445,411,834,1856,Ex,11394,88.0,0,2,9,1856,2010,2010,394432
1610,1288,294,789,2161,Ex,10562,86.0,120,5,8,1582,2007,2007,325624
1602,1246,356,529,1602,Gd,16635,69.0,0,7,6,1602,1977,2000,215000
630,0,630,280,1302,TA,1680,21.0,0,5,5,630,1971,1971,112000
807,457,326,393,1509,Gd,7861,69.0,75,5,6,783,2002,2003,183200
912,737,175,352,912,TA,12968,69.0,0,6,5,912,1962,1962,144000
1004,399,605,420,1664,TA,5000,50.0,24,7,6,1004,1947,1950,159000
1390,423,758,576,1694,TA,8400,60.0,0,5,6,1181,1925,1950,136500
747,0,747,220,747,TA,4608,47.0,0,6,4,747,1945,1950,80000
1040,0,0,420,1040,TA,7200,60.0,29,5,4,0,1950,1950,109900
831,0,831,493,1660,Gd,8935,68.0,68,5,7,831,2002,2002,195000
1026,218,808,308,1691,Gd,5000,50.0,0,6,5,1026,1924,1950,127000
864,398,317,720,864,Gd,7200,60.0,0,8,5,864,1950,2002,129000
752,623,0,264,752,TA,7175,50.0,0,5,6,744,1984,1984,125000
963,361,602,564,1792,Gd,12435,80.0,96,5,7,963,2001,2001,231500
764,0,764,474,1626,Gd,2628,36.0,27,5,7,764,2003,2003,175500
1484,428,1048,472,1484,Ex,9037,64.0,33,5,8,1476,2006,2006,265900
1675,0,1470,870,3493,Gd,18386,87.0,0,9,7,1470,1880,2002,295000
1652,1572,80,840,1652,Ex,13173,108.0,102,5,9,1652,2006,2007,325000
1276,0,1276,350,1276,TA,9571,68.0,0,3,5,1276,1958,1958,60000
1112,120,736,271,1668,TA,9600,80.0,0,8,6,856,1950,2005,140000
720,0,720,0,1192,TA,10800,60.0,0,4,4,720,1949,1950,135000
884,747,0,504,884,Gd,9180,69.0,0,7,5,840,1983,1983,144000
1180,1065,92,454,2062,TA,14364,69.0,55,5,7,1157,1988,1989,277000
827,0,0,392,827,TA,7200,60.0,0,7,5,0,1955,2007,107500
1136,0,728,532,2019,Gd,11414,60.0,135,8,7,728,1910,1993,167500
616,0,264,336,1304,TA,2665,69.0,24,6,5,264,1976,1976,115000
684,0,684,216,1368,TA,3600,60.0,158,7,6,684,1910,1993,114504
840,0,840,379,1605,TA,5790,60.0,0,6,3,840,1915,1950,107400
2020,1436,570,900,2020,Ex,12220,94.0,54,5,10,2006,2009,2009,402861
625,0,625,528,1250,Gd,4251,35.0,54,5,7,625,2006,2007,164700
1624,1456,168,757,1624,Gd,12461,89.0,114,5,8,1624,1994,1995,262000
845,565,280,360,845,TA,7599,69.0,0,6,4,845,1982,2006,129500
1389,1071,195,418,1389,TA,10010,77.0,38,5,5,1389,1974,1975,170000
968,0,968,480,968,TA,8520,60.0,0,6,5,968,1923,2006,100000
546,0,546,286,1092,TA,2001,21.0,0,5,4,546,1970,1970,75000
848,685,163,420,848,Gd,4435,69.0,0,5,6,848,2003,2004,144000
1269,374,363,308,1269,TA,7931,70.0,0,6,5,1269,1960,1960,155000
1092,170,252,288,1092,TA,11616,69.0,20,5,5,1092,1962,1962,139000
1468,795,0,539,2263,Gd,16659,69.0,250,7,7,795,1977,1994,235000
952,228,724,283,952,TA,8475,69.0,0,7,4,952,1956,1956,135750
736,0,736,0,1452,TA,4456,33.0,0,5,4,736,1920,2008,113000
1039,841,198,504,1039,TA,11625,75.0,0,4,5,1039,1965,1965,131500
1204,866,338,412,1204,TA,4500,32.0,247,5,6,1204,1998,1998,162000
1117,422,480,672,1117,TA,7819,94.0,0,5,6,1029,1976,1976,107000
2196,485,1496,701,2196,Gd,14684,90.0,70,7,7,2158,1990,1991,271900
985,595,390,328,985,TA,8385,65.0,0,8,5,985,1977,1977,149900
1629,1124,1603,880,1629,Gd,10655,85.0,0,5,8,3206,2003,2004,284000
877,0,861,216,1477,TA,6292,52.0,50,7,7,861,1928,1950,145000
980,560,420,484,980,TA,7064,71.0,0,6,5,980,1977,1977,135000
1166,728,367,590,2295,Gd,13346,69.0,40,5,7,1095,1992,2000,268000
900,0,602,180,1502,Gd,10592,55.0,0,7,6,602,1923,1996,165000
1575,0,697,432,2201,Gd,19690,69.0,236,7,6,697,1966,1966,274970
1050,789,245,836,2078,Ex,10800,85.0,102,5,8,1034,2007,2008,339750
800,0,264,0,800,Fa,6120,51.0,0,3,2,264,1936,1950,60000
1578,0,1573,840,1578,Ex,9262,78.0,36,5,8,1573,2008,2009,287090
1932,1336,596,774,1932,Ex,12444,96.0,66,5,8,1932,2008,2008,394617
1507,666,409,404,1507,TA,7910,70.0,0,5,5,1075,1960,1960,127000
900,450,432,280,900,TA,9819,69.0,0,5,5,882,1967,1967,122000
1718,1172,528,786,1718,Ex,12456,96.0,48,5,10,1700,2006,2007,337500
1089,0,636,240,1750,Ex,9000,50.0,0,6,5,636,1880,1991,124000
1383,719,660,834,2398,Gd,11787,95.0,60,5,7,1379,1996,1997,315750
774,0,774,680,1968,Ex,12003,92.0,75,5,8,774,2009,2010,269500
1536,810,726,532,1536,Gd,9135,70.0,74,5,7,1536,2002,2003,214000
864,203,661,200,864,TA,8212,45.0,0,3,3,864,1914,1950,58500
3228,1231,1969,546,3228,Gd,12692,69.0,75,5,8,3200,1992,1993,430000
1518,1351,83,670,2149,Gd,12822,48.0,43,5,7,1434,2003,2003,239686
1320,0,1240,864,2640,Gd,11700,65.0,0,7,7,1240,1880,2003,265979
1682,0,1304,530,1682,TA,10400,80.0,0,6,7,1304,1970,1970,174000
1038,0,1030,878,2098,Ex,10240,80.0,52,5,8,1030,2005,2005,275500
864,553,0,360,864,TA,8281,60.0,0,5,5,864,1965,1965,62383
1168,562,29,530,1968,TA,11075,69.0,189,4,5,784,1969,1969,172000
1097,338,702,480,1097,TA,9672,81.0,0,5,6,1040,1984,1985,152000
684,0,684,528,1196,Gd,12354,67.0,46,8,6,684,1920,2000,110000
1252,57,554,451,1920,Gd,13650,69.0,0,5,5,1052,1958,1958,172500
1728,231,1497,576,1728,TA,13101,74.0,0,5,5,1728,1965,1965,142600
1128,804,324,577,2031,Gd,9473,75.0,211,5,8,1128,2002,2002,237000
1196,616,580,297,1196,TA,9000,72.0,44,5,6,1196,1956,1956,139000
803,116,604,360,803,TA,5000,50.0,0,6,5,720,1941,1950,87000
780,493,0,462,1620,TA,10793,80.0,0,5,5,780,1969,1969,152000
2097,1721,356,1134,2097,Ex,20896,49.0,267,5,8,2077,2005,2006,423000
1869,0,1869,617,1869,Ex,7820,68.0,54,5,9,1869,2007,2007,318061
956,0,930,431,1886,Gd,11214,69.0,0,5,7,930,1998,1999,199900
480,50,430,308,480,TA,9000,50.0,0,3,2,480,1949,1950,35311
1296,0,0,516,1296,TA,10791,72.0,0,5,4,0,1967,1967,90000
816,690,126,288,816,TA,8877,67.0,0,6,4,816,1938,1958,100000
1601,704,567,478,1601,TA,11880,82.0,0,5,7,1271,1978,1978,157000
962,0,936,451,1792,TA,10261,93.0,0,5,6,936,2000,2000,186500
1352,1012,326,796,2520,Gd,14541,69.0,55,7,8,1338,1993,1993,310000
1144,748,102,796,1144,TA,8163,70.0,0,6,5,1144,1959,1959,143000
990,0,612,621,2601,TA,9842,51.0,0,6,5,612,1921,1998,189000
972,0,972,312,1577,Fa,6435,65.0,0,5,6,972,1939,1950,140200
